,白话文,文言文
1359,慕容啤召见慕容评商议逭件事。,召评而谋之。
1360,这时，阿难尊者和众多的诸比丘们，将衣钵放下，而洗足后，就到世尊所住锡的地方。,时。尊者阿难与众多比丘置衣钵。洗足已。诣世尊所。
1361,体仁不过是欺骗求胜。”,体仁顾欺冈求胜。”
1362,万一受重用，必然紊乱朝纲。”,万一用之，必紊乱纲纪。
1363,这就是所谓上面作为政令，下面就会形成风俗，实行而不停止，坚持而不放弃，那么这难道真是仁义之道吗？,此上以为政，下以为俗，为而不已，操而不择，则此岂实仁义之道哉？
1364,就是所谓的各位众生没有种善根的，使得他们种下善根。,谓诸众生未种善根令种善根。
1365,刑罚的渊源，是由于人的嗜欲没有节制。,刑罚之源，生于嗜欲不节。
1366,如果是现在的果，为使人们了解各阶段相生的道理，就说是识等五支。,若至现在，为令了知分位相生，说识等五。
1367,《庄子逍遥游》，长久以来就是个难题，众名士贤达能够钻研体味的境界，都不能超出郭象、向秀所阐发的义理之外。,《庄子逍遥篇》，旧是难处，诸名贤所可钻味，而不能拔理于郭、向之外。
1368,初三，祭祀太庙和奉慈庙。,戊辰，飨太庙、奉慈庙。
1369,又视察上谷，顺便到了代郡。,还幸上谷，遂至代。
1370,乌刍瑟摩在佛前合掌顶礼佛足而对佛说：,乌刍瑟摩于如来前合掌顶礼佛之双足而白佛言：
1371,由于他效忠朝廷，天子亲自下诏进他官爵，厚赏金帛。,天子手诏进宫，厚赍金帛，此赤诚效也。
1372,昌朝说“：章献太后母仪天下，章懿太后生养圣体，应像祥符年中升附祭元德皇后的旧例。,昌朝曰：章献母仪天下，章懿诞育圣躬，宜如详符升祔元德皇后故事。
1373,绍定五年，他上疏请求辞官，被任命为太傅。,绍定五年，上疏乞谢事，拜太傅。
1374,崔宁死后，抄没了他的家产，朝廷内外都认为他冤枉。,宁死，籍其家，中外冤之。
1375,孩子叫做月明。,子名月明。
1376,曾为会试主考官的张璁，与翰林学士们过不去，将诸位翰林学士调任其他部门，只想留唐顺之继续供职于翰林院。,座主张璁疾翰林，出诸吉士为他曹，独欲留顺之。
1377,昭鱼使人对韩国相国公叔说：,昭鱼令人谓公叔曰：
1378,于是帝尧就将自己的两个女儿嫁给了舜，以观察舜管理家族内部事务的能力，又让九个儿子与舜交往，以观察他处理外部事务的能力。,于是尧乃以二女妻舜以观其内，使九男与处以观其外。
1379,“就是那位比丘尼。”,“某甲比丘尼。”
1380,如佛陀的。,如佛者也。
1381,见到自己的儿子杀生心里很欢喜，还和他们一起吃被杀众生的肉。,见儿杀生。助喜啖肉。
1382,辅国将军刘牢之驻在新亭，派儿子敬宣打败王恭，王恭逃奔曲阿长塘湖，湖尉拘捕他送到京城，斩了他。,辅国将军刘牢之次新亭，使子敬宣击败恭，恭奔曲阿长塘湖，湖尉收送京师，斩之。
1383,九月七日，在云南屯田。,九月庚申，屯田云南。
1384,八，因为佛的音声无量，所以菩萨道亦无量；,佛音声无量故，菩萨道亦无量；
1385,谢瞻准备去睡觉，让别人来替自己，顾恺之不觉有异样，一直吟咏到天亮才停下。,瞻将眠，令人代己，恺之不觉有异，遂申旦而止。
1386,“应慢慢的走，我想仔细的拜观圣王的威颜”。,‘汝且徐行，吾欲谛观圣王威颜。
1387,唯有至人才能游心于世而不偏僻，顺随人情而不丧失自己。,唯至人乃能游于世而不僻，顺人而不失己。
1388,唠叨，也不对。,囋，非也。
1389,“舍利弗，我现在就给你们讲一个譬喻。在某一个国家的某一个城镇内的某一个村落，有一位长者，此人年迈寿高，财富无量，拥有大片田地和众多的宅院以及许多的童仆。,“舍利弗，若国邑聚落有大长者，其年衰迈财富无量，多有田宅及诸童仆。
1390,九月，徐州三千名士兵前往溵水，途中经过许州。,九月，徐州兵三千人赴溵水，途经许。
1391,至于圣人用来教化百姓的言论则属于虚设故事，是不能和历史事实的记载相提并论的。那是为了驱使凡夫俗子不知不觉地进入正道，从而达到劝善惩恶的目的。,若夫设教之言，驱群俗，使人入道而不知其所以者也。
1392,如果涉及到诬陷的行为，也必定反坐其罪。,苟涉加诬，必当反问。
1393,衰乱之世的和顺，则会生出逆乱之事。,衰世之顺，生逆也。
1394,绍兴二十三年，秦桧请求去台州谢伋家取綦宗山礼所受御笔送还朝廷。,二十三年，桧请下台州于谢家取綦礼所受御笔缴进。
1395,听说颜从览、颜弘式，是颜杲卿、颜真卿的后代。,如闻从览、弘式，实杲卿、真卿之孙。
1396,十二日，设置丰储仓。,乙巳，置丰储仓。
1397,倭军于是进入王京，俘虏了朝鲜国的王妃和王子，并追击到平壤，让士兵肆行淫掠。,倭遂入王京，执其王妃、王子，追奔至平壤，放兵淫掠。
1398,只有异熟心及其心所实有、恒续、周遍、无杂，是正确的真实趣和生。,唯异熟心及彼心所，实、恒、徧、无杂，是正实趣、生。
1399,官吏、士人和百姓家属南迁途中，有关部门不得禁止。”,官吏民士家属南去者，有司毋禁。
1400,不以出家离欲的快乐为珍贵；,于远离乐，不以为贵；
1401,八月三日，免湖广受灾税粮。,八月戊戌，免湖广被灾秋粮。
1402,七月，慕容恪在野王进攻冀州刺史吕护，吕护逃到荣阳。,七月，慕容恪攻冀州刺史吕护于野王，护奔荥阳。
1403,魏公子率领着东方五国的军队在黄河以南大破秦军，秦国的大将蒙骜大败而逃。,公子率五国之兵破秦军于河外，走蒙骜。
1404,仲文与桓玄虽是亲戚，但平素交往不密切，听说桓玄占据京师，便弃郡投靠桓玄。,仲文于玄虽为姻亲，而素不交密，及闻玄平京师，便弃郡投焉。
1405,河中平定后，得到叛贼的文书，里面有很多朝中大臣及藩镇互相勾结的话。,河中平，得贼中文书，多朝贵及藩相交结语。
1406,赤牛奋靷说的是赤奋若，是丑时的木星的名字。,‘赤牛奋靷谓赤奋若，在丑之岁名也。
1407,由于这样深为乡里推重佩服。,由是深为乡里推服。
1408,朝鲜及文龙受到大清军进攻，朝中的谏官于是说是因为崇焕议和而造成的。,而朝鲜及文龙被兵，言官因谓和议所致。
1409,临用前，再洗净，在太阳下晒干。,用时更洗净，日曝令干。
1410,以恐吓于他人，,恐吓于人。
1411,这一年，向汉朝贡献珍珠宝贝、符拔、狮子，并要求汉朝以公主许婚。,是岁贡奉珍宝、符拔、师子，因求汉公主。
1412,倘若偶而为之，也便一无是处了。,若或从事，无有是处。
1413,如来告诉阿难：,佛告阿难：
1414,请有关机构按照前代先例对宋挺除官为民，收回刘陶小妾还家，公开揭露恶人，向远近发出布告。”,请曹如前追除挺名为民，录妾还本，显证恶人，班下远近。”
1415,张说请李泌以“方圆动静”为题做赋，李泌迟疑了一会儿说：“我想知道大致的要求。”,说请赋“方圆动静”，泌逡巡曰：“愿闻其略。”
1416,在君子那里，把它作为为人的原则；,其在君子，以为人道也；
1417,“世尊也有遗余之法，而可除弃的食物，假如我不取其食的话，就当会愈困笃。,“世尊亦有遗余之法而可除者，设我等不取食者，便当困笃。
1418,另外，应对治的分别之相有九种：,复次，相分别对治有九种：
1419,像如是的邪盛大会，我就不会称叹。,如是等邪盛大会。我不称叹。
1420,不久张元勋与胡宗仁共同平定诸良宝的同党林凤。,寻与胡宗仁共平良宝党林凤。
1421,王僧辩任扬州刺史时，孔奂又补任扬州治中从事史。,僧辩为扬州刺史，又补扬州治中从事史。
1422,在不可思议解脱法门中的菩萨，能以神通力变化，显现出佛身，或者显现出辟支佛身，或者显现出声闻之身，或者显现出帝释身，或者显现出梵天王身，或者显现出世间君王世主之身，或现转轮圣王之身；,住不可思议解脱菩萨，能以神通现作佛身，或现辟支佛身，或现声闻身，或现帝释身，或现梵王身，或现世主身，或现转轮圣王身；
1423,凡是十方有病的众生，来到我的住所，我都能细心加以治疗，使他们康复。,十方众生诸有病者咸来我所，我皆疗治，令其得差；
1424,怎样可以脱出那种种的迷惑，离开那种种的束缚呢？,何以脱尘离缚？
1425,如来的音声毫无变易，到达究竟。,应知如来音声无变易，至于究竟故。
1426,因为我有佛性啊。,以有佛性故。
1427,季龙前往长乐、卫国，如见到不开辟田地、不治理农桑的地区，就把当地的守宰贬职，其后返回宫中。,季龙如长乐、卫国，有田畴不辟、桑业不修者，贬其守宰而还。
1428,他们只想竭泽捕鱼，而不思虑最终无鱼。,唯思竭泽，不虑无鱼。
1429,所以的缘故就是：,所以然者：
1430,李义府上奏尽取《氏族志》加以烧毁。,义府奏悉索《氏族志》烧之。
1431,二十八日，倭寇攻陷大嵩所。,丁亥，倭陷大嵩所。
1432,陶侃母亲湛氏对陶侃说：“你只要出去把客人留下来，我自然会想办法的。”,侃母湛氏语侃曰：“汝但出外留客，吾自为计。”
1433,至此，百姓没有转运军饷的劳役，施州各寨，积蓄聚集起来都可自给。,至是，民无转饷之劳，施之诸砦，积聚皆可给。
1434,然而，这是因为业的报应，使我们的眷属在世界上游荡，做坏事的多，做好事的少。,然是业报使我眷属游行世界。多恶少善
1435,于是操练兵器结纳宾客，后来就去复仇。,乃挟兵结客，后遂往复仇。
1436,宝卷昏愦狂虐，其直后刘灵运等人谋求奉立萧宝夤，秘密派人报告宝夤，宝夤答应了这件事。,宝卷昏狂，其直后刘灵运等谋奉宝夤，密遣报宝夤，宝夤许之。
1437,“老夫生逢圣世，有生之年能与我佛如来同处一个人世间，真是千载难遇的好时机。,“生遭圣世，甚难值遇。
1438,朱英火翟心中畏惧，上疏辩解，而且逼迫崇阳王朱显休为其保奏。,英耀惧，具疏奏辨，且逼崇阳王显休为保奏。
1439,我是外缘和合而产生。,我被众缘所生。
1440,观察药性与内脏的相应关系，即某药适宜治某脏的病，分清脏器的职能，分清药性的寒热，分清奇方和偶方的用法，来治百病，著《主对集》一卷。,观草木之性与五藏之宜，秩其职任，官其寒热，班其奇偶，以疗百疾，著《主对集》一卷。
1441,而所有的村落城镇、山林旷野，只要是奉持这经典的地方，我也将和眷属为了听受佛法而去到那里。,所在聚落城邑、山林旷野，有是经处，我亦与诸眷受法故，丑八到其所。
1442,年幼聪慧，五岁就能背诵诗赋，每日可背诵千言。,幼聪慧，五岁能诵诗赋，日千言。
1443,王羲之很讲究服食丹药养生，不愿意留在京城，刚到浙江，就有终老于此的念头。,羲之雅好服食养性，不乐在京师，初渡浙江，便有终焉之志。
1444,蛇脚还没画好，另一个人把蛇画好了，抢过酒杯说：,未成，一人之蛇成，夺其卮曰：
1445,随即就给弟弟三藏法师送去。,即以与之。
1446,秦桧特恨张浚，因此赵令衿一案，张宗元被罢，都波及到张浚。,桧忌张浚尤甚，故令衿之狱，张宗元之罢，皆波及浚。
1447,且稍等一会，当让你吃未曾有过的饭食。,若欲食者，且待须臾，当令汝得未曾有食。
1448,潘文卿、季可、陈坚、徐卿孙都是贾似道的爪牙，此时都上奏弹劾他。,潘文卿、季可、陈坚、徐卿孙皆似道鹰犬，至是交章劾之。
1449,李氏的女儿贾荃，是齐献王司马攸妃；,李氏女，齐献王妃；
1450,恰好山西巡抚按察使马禄办理造反的乱贼李福达一案，供词中牵连到武定侯郭勋，法司按马禄拟写的原样定了罪。,会山西巡按马录治反贼李福达狱，词连武定侯郭勋，法司谳如录拟。
1451,同时，上方五百万亿国土的大梵天王，也都亲眼目睹了他们所住的宫殿，在瑞祥光明的照耀下，发出从未有过的像征威德的金光。,”“尔时上方五百万亿国土诸大梵王，皆悉自睹所止宫殿光明威耀，昔所未有。
1452,正碰上陶侃等兵到，虞潭与郗鉴、王舒协同举义。,会陶侃等下，潭与郗鉴、王舒协同义举。
1453,‘秦国和韩国的邦交是可以恢复的。,‘秦、韩之交可合也。
1454,十一月，周光镐先渡过泸江，黑骨夷和王大咱已经占据相岭，焚烧了三峡桥，五咱等人也侵犯礼州、德昌二所。,十一月，光镐先渡泸，黑骨与大咱已据相岭，焚三峡桥；五咱等亦寇礼州、德昌二所。
1455,二等起集，即业和烦恼；,二等起集，谓业烦恼；
1456,初十，秦宗权攻破郑州。,癸未，秦宗权陷郑州。
1457,十四日，太尉王龚罢免。,辛未，太尉王龚罢。
1458,到天明时一看，是些太湖渔民以及巡尉兵卒，一共不满百人。,比明视之，皆太湖渔人及巡尉兵卒，不满百人耳。
1459,不久沙定洲进入城内去向沐天波辞行，沐天波以当天是家讳日不视事为由谢绝会客。,既定洲入城辞行，天波以家讳日不视事，
1460,潘埙惶恐地承认自己有罪，并且归罪于范璁，于是被给事中蔡经等人所弹劾。,埙惶恐引罪，且归罪于璁，遂为给事中蔡经等所劾。
1461,那时，世尊默然接受。,尔时。世尊默然受之。
1462,犹如制陶工人揉泥制作器皿，所有制成的器皿最终都要毁坏，人的生命也是这样。,譬如陶家，埏埴作器，一切要坏，人命亦然。
1463,又著《明世论》十五篇。,又着明世论十五篇。
1464,如对于四圣谛还未无间等的话，就应勤于方便，起增上之欲，去学习无间等。,于四圣谛未无间等者，当勤方便，起增上欲，学无间等。”
1465,五，光明的庄严，是由于放射出无边的光明，普照一切的众生；,光明庄严，放无边光普照众生故；
1466,世宗到经筵讲习，廷和负责经筵的事情。,帝御经筵，廷和知经筵事。
1467,初四，江西观察使殷侑请于洪州宝历寺设置僧尼戒坛，诏以殷侑故意违反法度，擅自设置戒坛，罚减一季附加俸禄。,辛未，江西观察使殷侑请于洪州宝历寺置僧尼戒坛，敕殷侑故违制令，擅置戒坛，罚一季俸料。
1468,“可以持此金钱，去大众当中，把它捐出去。”,“可持此钱，众中输之。”
1469,元海请求归返故里参加葬礼，司马颖没有同意。,元海请归会葬，颖弗许。
1470,佛问哪个法门最为圆通？我以为湛然不动的体性，以致心光发宣，得大神通，像澄清浊水久久变得清莹，是为第一。,佛问圆通，我以旋湛，心光发宣，如澄浊流，久成清莹，斯为第一。
1471,射三箭，祈祷战斗胜利，所有兵种齐集，出太庙等候，随后登上城头观望城外的情况。,射参发，告胜，五兵咸备，乃下，出挨，升望我郊。
1472,菩萨的菩提心也是这样，能普遍安住在三世无数量的时劫，教化众生，修行苦行，,菩提之心亦复如是，普于三世无数劫中，教化众生，修行苦行。
1473,诸比丘们仰白佛陀说：,诸比丘白佛言。
1474,法藏比丘说完了这个颂，立即全世界的大地发生六种震动。,法藏比丘说此颂已，应时普地六种震动。
1475,黎浚在位时曾两次改变纪元：大利占十一年；,浚改元二：大利十一年，
1476,各种净心意乐，能修行布施等，此胜者菩萨已得净心意乐，所以能够修行布施等，善者于死的时候，得随自己所爱乐的自体圆满果报。胜善菩萨，由于永断障碍，圆满佛果怎能会没有呢？,诸净心意乐，能修行施等，此胜者已得，故能修施等，善者于死时，得随乐自满，胜善由永断，圆满云何无？
1477,比丘们！有意界、法界、无明界。凡夫都被无明之触所触。,比丘。有意界法界无明界。无明触所触。
1478,国王说：“先生到馆舍休息，等我安排击剑比赛来请先生。”,王曰：“夫子休就舍，待命设戏请夫子。”
1479,到底要断除那种无常法之故呢？,断何等无常法故。
1480,士用果由摄受因、引发因、定异因、同事因、不相违因和除所缘缘之外的三缘所得。,观待、牵引、生起、摄受、引发、定异、同事、不相违因，除所缘缘余三缘得。
1481,初六，陕西宣抚使郭逵征讨蕃部党令征等，平定党令征等人的叛乱。,甲寅，陕西宣抚使郭逵讨蕃部党令征等，平之。
1482,“譬如一家饥寒交迫的人，得到如须弥山大的珍宝，能不欢喜吗？”,“譬如贫家饥冻之人，得大珍宝如须弥山，宁欢喜不？”
1483,从前心思执着于世俗境界就是烦恼，后来心念离开了世俗之境就是觉悟。,前念著境即烦恼，后念离境即菩提。
1484,汪直遣汪辙前来晋见胡宗宪说“：我们奉诏而来，为的是止息兵戈，安定边境，应该有使者远道迎接，设宴犒赏。,直遣滶诣宗宪曰：“我等奉诏来，将息兵安境。谓宜使者远迎，宴犒交至。
1485,然而如何去明加辨析这些话呢？,然则明辩此之说，将奈何哉？
1486,“‘力，是勤劳努力地作；,“力，谓勤作之也；
1487,现在正和当年的情形一样，所以知道一定能取胜。”,今与往同，故知必克。”
1488,如来为这样的大智慧海所围绕。,复为如是大智慧海之所围绕。
1489,如来告诉阿难：,佛告阿难：
1490,阮孚说：“水深山高，林木萧瑟，实在难以形容。,阮孚云：“泓峥萧瑟，实不可言。
1491,其身坏命终之后，,身坏命终。
1492,大王说：那我应当送你一些什么呢？,王言。我当持何等相遗也。
1493,几十天后，他们又出去抢劫偷盗，被主人发觉，这个贼酋被砍了头。,数旬之中，复出劫盗，为主所觉，即断其头。
1494,这就叫做，阿难！,是谓，阿难！
1495,有门客问他其中的缘故。,客问其故。
1496,国王有六个儿子，各自统领一个属国。,王有六子，各领一国。
1497,八月壬子，月亮冲犯氐宿，占卜同上。,八月壬子，月犯氐。占同上。
1498,“我没丢失。”,“我无所亡。”
1499,这时，弥勒这位菩萨中的大菩萨，已晓得了八千恒河沙数那么多的菩萨，他们心中所怀疑的问题，并且他自己也想解决这些疑问。因此，弥勒菩萨便双手合掌，向佛致礼，以偈颂格式问道：,时，弥勒菩萨摩诃萨知八千恒河沙诸菩萨等，心之所念，并欲自决所疑，合掌向佛，以偈问曰：
1500,第二天，让妹夫裴前去请卦，王生对裴说：,明日，令妹夫裴往请卦，王谓裴曰：
1501,遍净天的寿命为三劫，或者有减少的。,遍净天寿命三劫，或有减者。
1502,‘我现在已经受了人间福报，应当更进播种善业，修行天上福报。,我今已受人间福报。当复进修天福之业。
1503,通常用牡马和牝驴交配，所生的骡，身体强壮，形容高大，比马还好。,常以马覆驴，所生骡者，形容壮大，弥复胜马。
1504,因此之故，在其后来，乃得以知道众生的颜色形貌的优劣，也因此而互相是非，都这样说：,然后乃知众生颜色形貌优劣，互相是非，言：
1505,又有众生，,复有众生。
1506,有关于我自己，不利于时局的，只要听到了就改正，这难道也值得赞美么！,有关朕身，不便于时者，苟闻之则改，此岂足多耶！
1507,这一年，洪、吉、江、蕲各州水灾，河阳发大水。,是岁，洪、吉、江、蕲诸州水，河阳大水。
1508,如果碰上毁谤三宝的人，就对他们说：你将受到做瞎子、聋子、哑类人的报应。,若遇毁谛三宝者，说盲聋喑哑报。
1509,只要禅定智慧二者同修，本心之中自然是一片清净。,定慧等持，意中清净。
1510,真如若没有、眼耳声色当时即坏。,真如若无，眼耳色声，当时即坏。
1511,如依于水沫之水母，以虾为眼目的菌类、各种寄生虫等充满了世界。,诸水母等，以虾为目，其类充塞。
1512,萧何、曹参、丙吉、魏相、陈平、周勃、霍光之辈，消灭吕氏诸人，尊文帝为君，废黜昌邑王而立宣帝，治理国家，安定社稷，都是一代名臣。,萧、曹、丙、魏、平、勃、霍光之等，夷诸吕，尊大宗，废昌邑而立孝宣，经纬国家，镇安社稷，一代之名臣也。
1513,晏子说：“不可以。,晏子曰：“不可。
1514,导致如今这样，实在是由此而造成的。,致其今日，实此之由，
1515,因此，而问罗睺罗说：,问罗睺罗言。
1516,士廉家族三世担任此官，世人以其贵为荣。,士廉三世居此官，世荣其贵。
1517,若是帝王的军队就不该失败，那么自古以来朝廷用兵还有何难？,若帝王之兵不合败，则自古何难于用兵，
1518,乘此进攻，为何不可取胜？,乘此击之，何往不克。
1519,这是朕少年时所做的事。”,“此朕少年事。”
1520,裴耀卿怕他离开后工程受阻，没有及时宣布诏令，而抚巡则催他到职。,耀卿惧功不成，弗即宣，而抚巡饬厉愈急。
1521,二十六日，皇上从翠微宫归来。,庚戌，至自翠微宫。
1522,三受断灭的话，则那些多闻的圣弟子们，对于更上之事，已没必要再作的了。因为应该要做的，都已作完之故。,三受断者，多闻圣弟子于上无所复作，所作已作故。
1523,如果农夫喜欢音乐而去赏听，那就不能早出晚归，耕作种植，多收获粮食，所以粮食就会不足；,今惟毋在乎农夫说乐而听之，即必不能蚤出暮入，耕稼树艺，多聚叔粟，是故叔粟不足。
1524,于是晋升为礼部尚书兼东阁大学士，入阁参与机要事务。,遂进礼部尚书兼东阁大学士，入参机务。
1525,用襄阳王司马范任大将军，统率其部队。,以襄阳王范为大将军，统其众。
1526,如果寺院长老专逞私心臆断，一味任意决定取舍，不听从他人的规劝，一旦遭受到小人的谋害，引来灾祸，又将是谁人之罪呢？,其或主者好逞私心，专自取与，一旦遭小人所谋，罪将谁归？
1527,七月六日，俺答又侵犯万全右卫。,秋七月乙未，俺答犯万全右卫。
1528,大家都因这次亦不是廷辩而向穆质表示祝贺。,诸人皆贺穆，非是廷辩。
1529,贼兵发觉，加以阻挡，南霁云边战边进，士兵大多战死，到达的才千人。,贼觉，拒之，且战且引，兵多死，所至才千人。
1530,“黄昏时鸟星当顶，种稷。”,“春，鸟星昏中，以种稷。”
1531,先生知道这小箱子里是什么东西吗？,先生知此箧里何物？
1532,因此之故，诸比丘们！,是故，诸比丘！
1533,有上等的勇敢，有中等的勇敢，有下等的勇敢。,有上勇者，有中勇者，有下勇者。
1534,呜呼，任住持长老者难道不应该警惕、有所畏惧吗？,呜呼，可不惧乎！
1535,康日知未到，三州都投降了马燧，因此又加封马燧为晋慈隰节度使。,日知未至而三州降燧，故又加燧晋、慈、隰节度使。
1536,有六种：,谓六种缘。
1537,有疑难就提问，我应该为你们解释。,有疑即问，吾当为说。
1538,法藏比丘觉悟成佛，名为‘阿弥陀佛。,法藏成佛，号阿弥陀。
1539,更何况能出其上呢？如来所说之法，又有高上的。,况欲出其上如来说法复有上者。
1540,先祖常告诫我们，不得违背这一遗志。,常诫臣等，使不违此志。
1541,等到徐贞明返回朝廷，御史苏瓒、徐待极力称道此法可以推行，而且给事中王敬民又特意上奏评论与举荐，神宗才晋升徐贞明为少卿，赏赐他敕令，命令他与抚按大臣们核查、商议。,及是贞明还朝，御史苏瓒、徐待力言其说可行，而给事中王敬民又特疏论荐，帝乃进贞明少卿，赐之敕，令往会抚按诸臣勘议。
1542,七月，张世杰等人所率军队果然在焦山失败。,七月，世杰等兵果败于焦山。
1543,高崧因此受到称赞。,由是见称。
1544,其时卢携重又执政，他与豆卢王彖都看重高骈，于是劝说皇帝“：陛下初即位，派韩重出使南诏，将官属留蜀一年，费用不小，蛮人不肯迎接。,时庐携复辅政，与豆庐彖皆厚骈，乃谲说帝曰：“陛下初即位，遣韩重使南诏，将官属留蜀期年，费不赀，蛮不肯迎。
1545,王太后垂帘坐着，永明王脸朝西坐着，魁楚在一边侍立，把广州的事对邦彦讲了。,王太后垂帘坐，王西向坐，魁楚侍，语以广州事。
1546,目前燕之旧地，北至沙漠，束尽碧递，西及企业，南至冀方，全部沦为贼虏的地盘，不再是国家的领域。,今燕之旧壤，北周沙漠，东尽乐浪，西暨代山，南极冀方，而悉为虏庭，非复国家之域。
1547,动静相应适宜，愉快地迎接危难，人们忘记了死亡，金得其性。,动静应宜，说以犯难，人忘其死，金得其性矣。
1548,建泰中军副将为内应，保定终为义军攻下，宗元及中官万正化均死。,建泰中军副将郭中杰等为内应，城遂陷。宗元及中官方正化不屈死。
1549,遭母丧，退居西洛，不久恢复本官。,丁内艰，退居西洛，旋复本官。
1550,火更适宜用慢火，太快就烧焦发臭了。,尤宜缓火，急则燋臭。
1551,堪任于造偈，而称叹如来的功德的人，就是所谓天与比丘尼是。,堪任造偈，赞如来德，所谓天与比丘尼是。
1552,所以先王的话说：“这种尚贤使能之道，大量地运用，治天下就不会缺损；用到小处，也不会困惑。长久用它，则万民受其利，终身受之不尽。”,故先王之言曰：“此道也，大用之天下则不窕，小用则不困，修用之则万民被其利，终身无已。”
1553,陛下应该暂时亲临战场，使将士们得以凭仗天子的威名。,陛下宜暂临戎，使将士得凭天威。
1554,“您认为这样就够了，那么我就不会侍奉您了。,“足下以为足，则臣不事足下矣。
1555,郭奕审查完毕，说：“大丈夫岂能以老姐姐求名？”,奕省按毕，曰：“大丈夫岂当以老姊求名？”
1556,若无所思的对象，则能思的意根也无从生起。,若无前法，意无所生。
1557,谁是你们的老师呢？,谁为汝师？
1558,秦怎能接受我方的叛逆之臣而不考虑和好呢！”,秦岂可受吾叛臣而不怀和好哉！”
1559,皇帝按惯例又给他们赏赐，并给罕的法的母亲和妻子也加赐锦绮。,颁赐如例，复加赐其母及妻锦绮。
1560,作为臣子有三种罪过：一是导非，二是阿失，三是尸宠。,人臣有三罪：一曰导非，二曰阿失，三曰尸宠。
1561,所卑视的是贫穷、卑贱、夭折、恶名；,所下者，贫贱、夭恶也；
1562,统帅认为总指挥权在朝廷，不担心治他的罪；,帅守以总制在朝，不恤于罪；
1563,有德才而无势力者退，修饰声名而得助者进，称职的人因有违世俗而受到讥讽，空居其位的人因安逸度日而被视为显贵。,有德而无力者退，修望而有助者进；称职以违俗见讥，虚资以从容见贵。
1564,二十日，在北苑兴建永乐游观殿，穿过神渊池。,庚子，起永乐游观殿于北苑，穿神渊池。
1565,型逦下诏书令留守京城的官署及诸镇各自设置学官，不要有所荒废，考试检验优劣，依才能提拔任用。,苌下书令留台诸镇各置学官，勿有所废，考试优劣，随才擢叙。
1566,认识到我和无我，原本无二无别，这便是无我的意义了。,于我、无我而不二，是无我义；
1567,从前在波罗奈国有五百位盲人，四处行乞谋生。,昔波罗奈国有五百盲人，周行乞索。
1568,他从这当中觉醒后，便知道什么是正法，便会有大果报，,从是觉已，即知正法，有大果报，
1569,要使百姓改变看法，用以实现广远深入的教化，达到没有人犯法的美好境界，并无穷无尽地流传下去。”,使百姓改易视听，以成大化，致刑措之美，传之无穷。”
1570,该佛国内没有女人，也没有各种恶道。,无有诸女人，亦无诸恶道。
1571,庚申，下诏说：“朕以寡德之才，继承国家大业，在上不能调和阴阳，在下不能养育人民，灾异屡屡发生，灾祸的征兆频繁出现。,庚申，诏曰：“朕以寡德，纂承洪绪，上不能调和阴阳，下不能济育群生，灾异屡兴，咎征仍见。
1572,如同金刚山一样，众魔鬼及外道都不能撼动。,如金刚山，众魔外道不能动故。
1573,李棁与萧三宝奴、耶律忠、王汭一起到京城，金军索求金帛数千万，并且要求朝廷割让太原、中山、河间三镇，以及把宰相和亲王作为人质，才同意退军。,李棁与萧三宝奴、耶律忠、王汭来索金帛数千万，且求割太原、中山、河间三镇，并宰相、亲王为质，乃退师，
1574,选了八百精兵，夜尽之前入城，贼人不知。,选兵八百，夜艾而入，贼不知。
1575,郭登又计划准备把皇帝抢进城去，皇帝阻止了他，于是也先便带着皇帝回到北方。,登复谋夺驾入城，帝沮之不果，也先遂拥帝北行。
1576,阮大铖一手握定，抹杀认识太子的方拱干，而相信朋比为谋的刘正宗，忍心将十七岁的嗣君，关进监狱，凡有血气之人，都想寸磔士英、大铖等人，以谢先帝。,大铖一手握定抹杀识认之方拱干，而信朋谋之刘正宗，忍以十七年嗣君，付诸幽囚。凡有血气，皆欲寸磔士英、大铖等，以谢先帝。
1577,佛弟子，佛陀灭度之后，如果有人好心想要受持菩萨戒时，应当在佛菩萨形像前，自誓受戒。,若佛子，佛灭度后，欲以好心受菩萨戒时，于佛菩萨形像前，自誓受戒。
1578,“大凡人们的行动，为了奖赏才去做的，那么看到自己的利益受到损害就会停止。,“凡人之动也，为赏庆为之，则见害伤焉止矣。
1579,“秫，是黏粟；,“秫，黏粟；
1580,第二天，就回去把情况告知郭恂。,明日乃还告郭恂，
1581,曲允相信了，众兵惊惧溃散。,允信之，众惧而溃。
1582,这时田简对司马憙说：,田简谓司马憙曰：
1583,何谓懈怠，何谓懈怠的报应；,是懈怠，是懈怠报；
1584,穆修的《易经》是向种放学的，种放的《易经》是向陈搏学的，其源流最远，图书象数变化之妙，是秦汉以来少有人知道的。,修之《易》受之种放，放受之陈抟，源流最远，其图书象数变通之妙，秦、汉以来鲜有知者。
1585,法达把经书取来，给慧能大师读了一遍，六祖听了以后，就明白了释迦牟尼佛的意思。,法达取经到，对大师读一遍，六祖闻已，即识佛意。
1586,跟随佛的言语、举止如法地行持，这就是父母般地行持。,随佛语案法行。是为父母行。
1587,郁单曰的人，则唯食自然的粳米，乃具足了天味，作为他们的段食，也以衣服、洗浴为其细滑食。,欝单曰人唯食自然粳米，天味具足以为抟食，衣服、洗浴为细滑食。
