白话文,文言文,文言文_较差
太祖在位十七年时间，而把宋朝三百多年的基业，传给了子孙，世代有了常典法则。,在位十有七年之间，而三百余载之基，传之子孙，世有典则。,在位十七年，三百多载基业，传给子孙，代代有规矩。
孚远在背后议论此事，杨博不高兴，孚远便称病离去。,孚远有后言，博不悦，孚远遂移疾去。,孚远讲了几句话，博不高兴，孚然后来说生病走了。
二十二根的自性就是这样，关于其他方面的问题，如《瑜伽师地论》卷五十七等所说应当知道。,二十二根自性如是，诸余门义如《论》应知。,二十二根自性就这样，其他门的意思在《论》里知道一下。
那时，世尊告诉诸比丘们说：,尔时，世尊告诸比丘：,那时，佛跟众僧人说：
张廷珪上书说：“如今河南发生牛瘟疫，十分之九以上均病死。,廷珪上书曰：“今河南牛疫，十不一在，,廷珪上书说道：“现在河南牛瘟疫严重，十头牛都剩不到一头了，”
此人不免职，将为害朝政。”,此人不去，为朝端害。”,此人不走，会害朝里人。
将要到吴郡时，苏峻密令左右随从，让他们进入阊门放火以示军威。,将至吴，密敕左右，令入阊门放火以示威。,将到吴地，叫手下偷偷地，进阊门放把火，显显威风。
姚广孝十分惘然。,广孝惘然。,广孝愣住。
陆机与他交谈，对他深加赏识，便与他结下友情。,机与言，深加赏异，遂与定交焉。,机跟他说，觉得他很厉害，然后就决定交个朋友了焉。
妇人们没有谁不想让他做自己的丈夫，姑娘们没有谁不想让他做自己的未婚夫，抛弃了自己的父母亲人想与他私奔的女人，比比皆是。,妇人莫不愿得以为夫，处女莫不愿得以为士，弃其亲家而欲奔之者，比肩并起。,女人没有不想嫁给他做老公，姑娘没有不想让他做老公的，抛弃家里人都想跑去跟着他，到处都是。
然而我母亲已七十六岁高龄。,然辅母年七十六，,然輔母七十有六，
君主年少，不进荐贤哲来辅导圣上。,主之少也，不登进贤哲以辅导圣躬。,主人年轻时，没有请进贤人哲士来辅导他。
此乱想和合邪咒而有非无色相无色羯蓝流转各处国土，随诅咒而作祟的灵异者和随厌祷而作祟的妖怪等类充塞世间。,由是故有非无色相无色羯蓝流转国土，咒诅厌生其类充塞。,因此故有非无色相无色羯蓝流转国土，咒诅厌胜，其类充塞。
班超责备革健支说：“你虽然是匈奴侍子，可你掌握了国家大权，我都护亲自来到，你们国王不按时欢迎，都是你的罪过。”,超结鞬支曰：“汝虽匈奴侍子，而今秉国之权。都护自来，王不以时迎，皆汝罪也。”,超对鞬支说：“你虽然是匈奴的侍子，但现在掌握国家大权。都护自己来了，王不按时迎接，这些都是你的罪过。”
徐陵以年老屡次上表请求辞去官职，高宗也优待他，于是下诏令将作监为他造作大斋法会，令徐陵就馆第理事。,陵以年老累表求致仕，高宗亦优礼之，乃诏将作为造大斋，令陵就第摄事。,陵因为年纪大多次上表请求退休，高宗也给予他优待，下诏让他造大斋，叫陵在家做事。
十三日，将代宗安葬于元陵。,己酉，葬睿文孝武皇帝于元陵。,己酉日，把睿文孝武皇帝葬到元陵里去了。
老聃说：“播扬谷糠眯了眼睛，天地四方的位置就会颠倒；,老聃曰：“夫播穅眯目，则天地四方易位矣；,"老聃曰：“撒糠眯眼，則天地四方都變換了；"""
等到张居正遇到丧事，打算夺情出仕，张瀚心中认为不可以。,比居正遭丧，谋夺情，瀚心非之。,比着居正那会儿死了亲人，想不上朝，瀚心里不认同。
一句话说错了，四匹马也不能追回；,一言而非，四马不能追；,一言错，四马追不上；
‘你的自我本性，就如同虚空，没有一个事物可以识见，这叫做正见；,‘汝之本性，犹如虚空，了无一物可见，是名正见；,汝本性如虚空，无一物可见，此名正见。
周对父母至孝，父去世后，有人劝他出来做官，他说：“你不知道我母亲以我为命吗？,奉亲至孝。父殁，或劝之仕，对曰：“若不知母氏以我为命耶？,奉亲很孝顺。爸爸死了，有人叫他去做官，他说：“他不知道妈妈靠我活命吗？
从前我的先母，美德美行，熠熠生辉。,昔我先妣，晖曜休光。,古我老娘，光辉好亮。
他没有更改典章法规，没有发布偏颇的政令。,典法无更，偏令无出。,经典法则不要改，特别命令不要出。
于是乘他的私党郭巩进入北京时，唆使他排挤我和各意见与他不同的人。,于是乘私人郭巩入都，嗾以倾臣，并倾诸异己者。,于是叫私人郭巩进京，让他搞倒我，还有其他不合心意的人。
回答道：“山是所有百姓抬头就能看到的。,曰：“夫山者，万民之所瞻仰也。,曰：那山啊，是大家伙都仰望的。
善男子、善女人若能成就这四种法，那么，在如来灭度之后，他们也必定能够得到这部经典。”,善男子、善女人，如是成就四法，于如来灭后必得是经。”,好男子、好女人，做到这四件事，佛灭度后一定能得到这部经。
“世尊曾令我告诉大将说：,“世尊告大将曰：,佛祖对大将军说：
吕望辅佐周朝，子长有两种说法，像这一类的事，常常是有的。,吕望事周，子长存其两说，若此比类，往往有焉。,吕望做周的官，司马迁留了两种说法，像这种情况，经常都有。
先朝各代，每每对此慨然而叹。,先朝仍世，每所慨然。,先朝几代，每次都挺感慨的。
“请问大师您所说的是达磨大师的宗旨吗？”,“和尚所说，可不是达磨大师宗旨乎？”,和尚说的，不是达磨大师的意思吗？
“见到钟士季，就像参观武器库，只看见到处都是矛戟等武器。,见钟士季，如观武库，但睹矛戟。,见钟士季，好似看武库，只看到矛和戟。
后来起用为交州都督，死在任上。,起为交州都督，卒官。,起做交州都督，死在官上。
太宗听信弭德超的谗言，怀疑曹彬有不轨行为，适值赵普再次为相，赵普替曹彬辩白保证，事情得以澄清。,太宗入弭德超之谗，疑曹彬有轨，属普再相，为彬辨雪保证，事状明白。,太宗听弭德超谗言，怀疑曹彬造反。正巧普再做宰相，替曹彬辩解澄清，事情才明了。
应当在坐禅时或睡梦中加以仔细的观察。,当于坐时及梦中察之可知。,当在坐时和梦中察之可知。
柳敏从建德年间以后，长年卧床不起，武帝和宣帝都曾亲自到他家慰问病情。,敏自建德以后，寝疾积年，武帝及宣帝并亲幸其第问疾焉。,敏自从建德年后，生病好几年，武帝和宣帝都亲自去他家里问他病情。
淳安徐尊生曾说“：,淳安徐尊生尝曰：,淳安徐尊生曾经讲过：
世人竞相浮华，人心习于浅薄，终于导致灾祸战乱并起，天下败亡。,世逐浮竞，人习浇薄，终使祸乱交兴，天下丧败。,世人追浮名，人习薄情，终致祸乱起，天下败。
该疏章递到皇帝手上时，皇帝深以为然，命令王琼深思熟虑周详地处理问题，不可轻信番人之言。,疏入，帝深然之，命琼熟计详处，毋轻信番言。,疏入，皇帝很同意，命琼仔细想想详细处理，不要轻易相信番人的話。
“可以。”,“可矣。”,好也。
那时，有四大声闻集聚在于一处，而作如是之言：,是时，四大声闻集在一处，而作是说：,这时，四个大声闻聚在一起，说：
不仅足姚弼有了泰山一样的安稳，宗庙社稷也有了磐石一样的坚固。”,非但弼有太山之安，宗庙社稷亦有磐石之固矣。”,非但弼有泰山之稳，宗庙社稷亦有磐石之牢矣。
子顺回答说：“在我看来，这实属无益之举。,子顺对曰：“以臣观之，殆无益也。,子顺答道：「我看啊，大概没啥用处。」
过了七天，梁鸿不和妻子谈话。,七日而鸿不荅。,七日鸿鸟不回答。
桓公说：“仁祖是比我辈强的人。”,桓公曰：“仁祖是胜我许人。”,桓公说：“仁祖这家伙比我强多了。”
二十六日，以书谕明瘅。,壬辰，以书谕明升。,壬辰日，写书信告诉明升。
天和初年，升任司会中大夫，食邑增至三千七百户。,天和初，迁司会中大夫，增邑通前三千七百户。,天和初年，改任司会中大夫，增加食邑到三千七百户。
十七，有求必应；,十七者有求皆从。,十七时，有求就从。
世尊告诉他说：,世尊告曰：,世尊说道：
佛子，菩萨摩诃萨从初地品位乃至到第九地品位，以这样无量的智慧观察觉解了知之后，善于思惟修习，善于遍修所有的菩萨行，使所有的善法功德具足圆满，集聚无边际的相互资助促进的道法，增长广大福德智慧，广泛修行大悲功德，知道世界的差别，入于众生界稠密森林，入于如来佛所行的地方，随顺如来修行寂灭行，经常观察忆念如来智力无所畏惧的与他法不同的如来佛法，这叫做得一切种智一切智智受职灌顶的品位。,佛子，菩萨摩诃萨从初地乃至第九地，以如是无量智慧观察觉了已，善思惟修习，善满足白法，集无边助道法，增长大福德智慧，广行大悲，知世界差别，入众生界稠林，入如来所行处，随顺如来寂灭行，常观察如来力无所畏不共佛法，名为得一切种一切智智受职位。,佛子，菩萨从初地到第九地，用这种无量智慧观察觉悟以后，好好想一下修习，满足白法，集无边助道法，增长大福德智慧，广行大悲，知世界差别，入众生界稠林，入如来所行处，随顺如来寂灭行，常观察如来力无所畏不共佛法，叫作得一切种一切智智受职位。
孙文子这样做却没有被杀头，他实在是太侥幸了！”,幸哉！孙子之以此免戮也。”,幸也！孙子因此免死也。
因为这个娑婆国土中的人，大多数性情邪恶，傲慢浮浅，功德浅薄，多恼好怒，污浊不净，谄媚折腰，虚伪奸诈，没有一点诚实之心。”,是娑婆国中，人多敝恶，怀增上慢，功德浅薄，嗔浊谄曲，心不实故。”,娑婆国里，人多恶劣，心生傲慢，功德浅薄，心中嗔恨，虚伪不实。
如果为不食的苦痛之时，便自己知道我为不食的苦痛；,不食苦痛时，便自知我不食苦痛；,不吃苦头时，自己就晓得我没吃苦头；
政事由一人主持，权力太重了。,政在一人，权甚重也。,政只在一个人，权力很大啊。
阎显告诉太后，征召诸王子简为帝的继承人。,閰显白太后，征诸王子简为帝嗣。,閰显跟太后说，把那些王子叫来，选一个当皇帝的继承人。
勒叉那尊者看见大目揵连尊者曾经微笑，就问他而说：,尊者勒叉那见尊者大目犍连微笑，即问言：,尊者勒叉那看到尊者大目犍连笑，就问他：
假如用栴檀香来涂在右手，而执刀断左手的话，内心也不会起增减的。,设以栴檀香，以涂右手者，执刀断左手，心不起增减。,用栴檀香涂右手，拿刀砍左手，心里不要有变化。
然而窦笃等认为周公正，怨隙已经是很久以前的事了，就不再加害他。,然笃等以纡公正，而怨隙有素，遂不敢害。,然然笃这些人因为王纡为人公正，以前有仇怨，所以不敢害他。
然而琴音不离开歌音，歌音也不离开琴音，二种声音共和合，乃成为妙声音。”,然琴音不离歌音，歌音不离琴音，二事共合，乃成妙声。”,然琴音不离歌音，歌音也不离琴音，两样东西合一起，才是好声音。
二十七日夜，火星冲犯昴宿星。,甲午夜，荧惑犯昴。,甲午夜晚，火星冲撞昴星。
六祖大师从黄梅县五祖弘忍大师处得到佛法真传后，来到广东韶关曲江县的曹侯村时，没有人知道他就是五袓弘忍的佛法传人。,师自黄梅得法，回至韶州曹侯村。人无知者。,师从黄梅学到法，回到韶州曹侯村。没人知道。
佛陀又告诉坚固说：,佛复告坚固：,佛又说给坚固：
李新首先建议，,新首建言：,新頭建言：
“我们都静默，听你和我师之论义吧！”,“我等尽默，听共师论。”,我等都静默，听大家和老师说话。
后来曹操出游近郊，士大夫跟随者一百多人，左慈就拿着酒一升，干肉一斤，亲手给大家斟酒，百官无一不是酒醉饭饱。,后操出近郊，士大夫从者百许人，慈乃为赍酒一升，脯一斤，手自斟酌，百官莫不醉饱。,后来曹操出城到近郊，跟从的士大夫一百多人，慈拿了一升酒，一斤肉脯，自己拿手倒酒，官员们都喝醉吃饱了。
罪人计量火聚之时，自会燃烧其手足，也燃烧而遍诸身体，致罪人苦毒热痛，呻吟号哭。,彼量火时，烧其手足，遍诸身体，苦毒热痛，呻吟号哭。,彼在量火时，手足被烧，全身疼痛，苦毒热痛，呻吟号哭。
当月，周王朱橚、晋王朱率领河南、山西各卫军队出塞，修筑城防和屯田。,是月，周王橚、晋王、率河南、山西诸卫军出塞，筑城屯田。,这个月，周王橚、晋王带了河南、山西的卫军出去塞外，修城搞屯田。
说的就是这样的人。,此之谓也。,这就是说的。
从安南向涪，道路众多，敌人前军累破，后众丧魂，这是第四个可图取的理由。,从南安向涪，方轨任意，前军累破，后众丧魂，四可图也。,从南安去涪，一路随便走，前面部队老打败仗，后面人吓破胆，四个条件可以图谋。
菩提心犹如好足，因为能安立一切功德；,菩提心者，犹如好足，安立一切诸功德故。,菩提心，好似好脚，安立一切功德故。
应当知晓是由于建立在认知作用对象境界过程中流转，由于建立阿赖耶识与其他普遍相应的内心活动形式共同相应在认知作用对象境界过程中流转，由于建立阿赖耶识与其他转识互为因缘流转，由于建立阿赖耶识与诸转识同时流转。,当知建立所缘转故，建立相应转故，建立互为缘性转故，建立缘等俱转转故。,当知建立所缘转，建立相应转，建立互相为缘性转，建立缘等一起转。
我现在能成为佛陀，都是由于持戒而来的。,吾今成佛，由其持戒；,我今成佛，因为守戒；
不愿做官而愿受赏的，爵禄同前一样。,其不欲为吏而欲受构赏，禄皆如前。,其不想要做官但想受奖赏，俸禄都像之前一样。
遍计所执的对象，完全没有实体，为了表示并不存在，假说为名称；,遍计所执，都无体故，为显非有，假说为名；,遍计所执，全无体性，显非真实，假名为说。
当魔心厌足之后，便离开他附体的这个人，这时此人和他的弟子都要遭陷王难的。,厌足心生，去彼人体，弟子与师俱陷王难。,心生厌足，离开那人身体，徒弟跟师父一起陷入王难。
十六日，派遣使臣巡抚淮浙路。,丁卯，遣使巡抚淮、浙路。,丁卯日，派人去淮、浙那边巡查一下。
与吐蕃一道进攻勃律，勃律乞求归降。,属吐蕃攻勃律，勃律乞归，,吐蕃打勃律，勃律求归，属之。
左丞既以山陵之事加以推断，我想也许与成服有差别。,左丞既推以山陵事，愚意或谓与成服有殊。,左丞既推山陵事，我觉得可能与成服有些不同。
‘五是来备，各有次序了。,五韪咸备，各以其敍矣。,五样都备齐了，各自按顺序来吧。
越祇国人民尚德崇礼，凡是本国的出家人、证悟者，以及远方来的修行者，都给以供养，为其提供衣服被褥、安排住宿、医疗药物，这是第七种。,越祇国人尊道敬德，国有沙门、得道应真，方远来者，供养衣被、床卧、医药，是谓为七。,越祇国人尊重道德，国家里有沙门、得道应真，远方来的人，给他们衣服、床铺、医药，这就是七种供养。
孙元化这人，就是原来号称善长西洋大炮的那位，到此时也主张招抚，发布檄文告知贼人经过的地方不要半路截击他们。,元化者，故所号善西洋大砲者也，至是亦主抚，檄贼所过郡县无邀击。,元化这人，以前号称擅长西洋大炮，到这个时候也主张安抚，发公文叫那些贼人经过的郡县不要拦截。
菩萨十地也是如此，同在一切智中，因为有区别，所以分别名为初地至十地。,菩萨十地亦复如是，同在一切智中，差别得名。,菩萨十地也是这样，都在一切智里面，只是名字有分别。
“是谁建造了这座巴陵弗城？”,谁造此巴陵弗城,谁人建此巴陵烂城
用于郊祭天的飨神歌：修整好南郊的祭天的泰坛，礼待伟大的天神。,天郊飨神歌整泰坛，礼皇神。,天边祭神歌乱坛，礼仪皇神。
死时六十一岁。,卒年六十一。,死时六十一岁。
人们都为宋敏求担忧，而皇帝却保护他，并任他为史馆修撰、集贤院学士。,人为敏求惧，帝独全护之，除史馆修撰、集贤院学士。,人怕敏求，皇帝却保护他，做了史馆修撰、集贤院学士。
希望陛下千万信守，努力实行，担心不是陛下后悔的理由。,愿陛下慎守而力行之，恐非所以为悔也。,愿陛下小心守着努力做，恐怕不是悔改的办法。
用兵力恫吓使他不敢不服从，是中策。,慑之以不敢不从，中策也。,以不敢不从慑之，中策也。
义熙初年，梁州刺史刘稚谋反，推举司马艳为头领，消息败露，被杀。,义熙初，梁州刺史刘稚谋反，推遵之为主，事泄，伏诛。,义熙初年，梁州刺史刘稚想造反，要立遵之为主，事情泄露了，被杀了。
气绝以后，就用当时穿的衣服，及幅巾旧衣，用竹席裹尸，用麻扎住两头，把尸体放置在床上。,气绝之后，便即时服，幅巾故衣，以遽除裹尸，麻约二头，置尸床上。,人死后，立刻穿衣服，用布裹头，随便穿旧衣，草草用席子包屍，用绳子绑两下，放到床上。
六句义中由色根所摄取的无质碍事物，都应当是有碍的，因为它们由色根所摄取，如地、水、火、风一样。,诸句义中色根所取无质碍法应皆有碍，许色根取故，如地、水、火、风。,诸句义中，色根取无质碍法，应皆有碍。许色根取，如地、水、火、风。
二十一日，岳州安抚使高世杰驻军洞庭中，元军进攻，高世杰投降。,壬辰，岳州安抚高世杰军洞庭中，大元兵攻之，世杰降。,壬辰日，岳州安抚高世杰在洞庭湖中带军，大元兵攻打他们，高世杰投降了。
谢玄派使者对苻融说：“您深入我国境内，而面对肥水列阵，这是不想速战。,玄使谓苻融曰：“君远涉吾境，而临水为阵，是不欲速战。,玄叫人对苻融说：“你深入我的地界，却临水摆阵，这不想速战速决吗。”
我们佛经里说：,我教典中说：,我书里面讲：
王恭尚未出门，江叹息道：“个人能够估量自己，原来是很难的。”,未出户，江叹曰：“人自量，固为难。”,未出门，江叹道：“人自己衡量，本来就很困难。”
我灭度之后，于五浊恶世中，一切众生因没有宿命神通，故不知因果轮回，暂时得到人身，便视为快乐。,我灭度后。浊恶世时。一切众生。不知宿命。暂得人身。谓为快乐。,我死后。乱世时候。所有人生。不知前世。偶尔做人。认为快乐。
子路唱起歌，孔子同他唱和，唱完了三首曲调，匡人的包围也解除了。,子路歌，孔子和之，三终而围罢。,子路唱歌，孔子跟着唱，唱了三遍，围的人散了。
现在各军中管辖的民户，分为不同部分但贯通一体，风俗教化衰败，威严的法纲不能建立，应该全部撤销诸军的封界，充实朝廷府库的丰饶，严明法令，来廓清天下。”,今诸军营户，三分共贯，风教陵弊，威纲不举，宜悉罢军封，以实天府之饶，肃明法令，以清四海。”,今众军营户，三分共贯，风气败坏，威严不行，应罢军封，充实天府，严法令，清四海。
寻、伺二种也可属加行善，因为由闻、思、修等所形成的善法都有寻、伺活动参与。,后二亦通加行善摄，闻所成等，有寻、伺故。,后来两个也通加行善摄，闻所成等，有寻、伺的原因。
于是追查，抓到了冯昌审问，冯昌全都招供了，说：“本来与他妻子谋杀董丰，约好了以新沐浴枕着枕头为记号，是此误杀了妇人。”,于是推检，获昌而诘之，昌具首服，曰：“本与其妻谋杀董丰，期以新沐枕枕为验，是以误中妇人。”,于是查办，抓到昌问，昌全招了，说：“本来跟我老婆商量杀董丰，约定用新洗头的枕头做记号，所以错杀了那女人。”
只是文灿决心已定，要招降贼兵。,文灿顾决计招降。,文灿想了一下，决定招降。
须菩提答：“很多，世尊。”,“甚多，世尊。”,很多很多啊，世尊。
姚兴、谯纵分别在秦地、蜀地僭越名号，卢循和魏从南北各方相交入侵。,姚兴、谯纵僭号秦蜀，卢循及魏南北交侵。,姚兴、谯纵在秦蜀称帝，卢循和魏南北两边乱侵。
是因为前世用木竹刺活着的鱼或畜生的口的原因，今世才得到这样的罪报。,前世以木竹。刺生鱼畜生口故。今世得罪如是。,前世用木头竹子，戳活鱼活畜嘴巴所以。今世犯错像这样。
坐而论道的保傅职位，现在举荐给与奇邪之徒。,夫保傅之职坐而论道，今举而畀之奇邪之徒。,保傅这职务本应坐下来讲道理，现在却给了那些奇怪的人。
皇帝大怒，剥夺刘世曾官职，停发沐昌祚俸禄一年，李材、陈严之、刘天俸都逮捕下狱。,帝怒，削世曾籍，夺昌祚禄一年，材、严之、天俸俱逮下诏狱。,皇帝生气，削了世曾的籍，夺了昌祚的禄一年，材、严之、天俸都抓起来丢进大狱。
黄廷聘惶恐谢罪，陈安才归回其财物。,廷聘皇恐谢，乃还之。,廷聘很害怕，慌忙推辞，然后还回去。
明帝问：“是指家里会出个天子吗？”,帝问：“为是出天子邪？”,帝问：“这个是天子出的吗？”
其六，尊重将领；,一，重将领。,一，重视将领军。
被征赴省，李神隽上表留他，不让他还朝。,被征赴省，神隽表留不遗。,被征到省，神俊还留他没放。
近者言官结党求胜，在朝廷内则以公卿为奴隶，朝廷外则以司属为草芥，任性恣横，恐怕不是一天两天了，请皇上大大振奋干断，以彰国法。”,迩者言官缔党求胜，内则奴隶公卿，外则草芥司属，任情恣横，殆非一日，请大奋干断，彰国法。”,迩来言官结党争胜，内则轻视公卿，外则忽视下属，任意妄为，已经很久，请大力整治，彰显国法。
财物很多却不分施给穷人，这是第二种不祥。,多财而不以分贫，二不祥也。,有钱而不分给穷人，这是不好的。二不吉祥也。
我将要为你宣说。,当为汝说：,当给你说：
在召公的《执令》上也这样说：“要恭敬啊！,于召公之《执令》于然，且：“敬哉！,于召公《执令》中言，且曰：“敬哉！”
君子能培养他的道德学问，创立政治主张，别人不一定能容纳。,君子能修其道，纲而纪之，不必其能容。,君子能修自己之道，弄个大纲，理个纪，不一定能容人。
都是以杀戮、掠夺、淫欲这三种贪婪的妄念作为根本，因此而由前因致后果，相互延续不绝。,唯杀、盗、淫，三为根本，以是因缘，业果相续。,杀、盗、淫，三者是根本，因此因缘，业果一直连续。
我变为婆罗门，和你一起到世间，教化人们行善修福，从而死后往生天界。”,我当化作婆罗门，共下到阎浮提，教授天下使为善，为善死皆生天。”,我要变成一个婆罗门，一起下到人间，教大家做好事，做好事死了都可以上天。
官军扎营在淤泥之中。,官军营淤泥中。,官军陷在泥巴里了。
“你难道见过，心境可以返回来捆绑心境吗？”,于意云何。汝颇见法能还与法作系缚不。,于意如何。你看有没有法子能绑住法不。
十一月八日，在南郊祭天。,冬十一月庚午，祀天于南郊。,冬月十一，庚午日，在南郊祭天。
第二年，庄烈帝即位，倪文焕伏法被处死，李实下狱，毛一鹭、徐吉因修建魏忠贤祠堂被定罪，吕纯如因颂扬太监被处罪，一起附于“逆案”。,明年，庄烈帝即位，文焕伏诛，实下吏，一鹭、吉坐建忠贤祠，纯如坐颂珰，并丽逆案。,明年，庄烈帝当上皇帝，文焕被杀，实下吏，一鹭、吉因为建忠贤祠，纯如因为歌颂珰，都牵连进逆案。
少放点水，煮到烂为好。,微下水。烂煮为佳。,水少点。煮烂最好。
九月初六，阔水道行军总管牛进达与吐蕃军在松州交战，打败吐蕃军。,九月辛亥，阔水道行军总管牛进达及吐蕃战于松州，败之。,九月辛亥，阔水道牛进达跟吐蕃在松州打仗，打赢了。
“这香饭的力量能持续七天哩，这之后便肖化完了。,“此饭势力，至于七日，然后乃消。,此饭力气，到七日，然后消掉。
显宗很重视，令人将它抄写一份藏在秘馆里面。,显宗重其书，写藏秘櫲。,显宗看重这本书，抄了藏在秘密的地方。
转任太常卿，刘芳以所设置的五郊以及日月的位置，离都城的里数于礼有相违背的地方，又加上对灵星、周公的祭礼仪式，觉得不应该隶属太常寺，于是上疏说：“臣闻国家大事，没有比郊祀更重要的了，郊祀的根本，实质是在审定位置。,转太常卿。芳以所置五郊及日月之位，去城里数，于礼有违，又灵星、周公之祀，不应隶太常，乃上疏曰：臣闻国之大事，莫先郊祀，郊祀之本，实在审位。,轉太常卿。芳覺得五郊跟日月位置，離城距離，不合禮儀，還有靈星、周公祭祀，不應該歸太常管，於是上疏說：聽說國家大事，最先該是郊祀，郊祀最重要的是位置要準確。
十八日，世宗下诏书说：“去年水灾，今年春天又发生旱灾，百姓饥馁，救命无计，眼下虽处养蚕月份，然却无法养织。,己卯，诏曰：“去岁水灾，今春炎旱。百姓饥馁，救命靡寄，虽经蚕月，不能养绩。,己卯，诏曰：“去年水灾，今年春天又大旱。百姓饥饿，无处求生，虽然现在是养蚕时节，也无法养蚕纺织。
在于大众的上面的虚空而立，,在大众上虚空中立。,在众人之上虚空中立。
张凭告退，刘说：“你暂且回去，我将要接你一起去拜见抚军。”,张退，刘曰：“卿且去，正当取卿共诣抚军。”,张退下，刘说：“你先走，我正要带你去见抚军。”
另外还应当知道，此人就等于被释迦牟尼佛用手摩顶；,当知是人为释迦牟尼佛手摩其头；,当知此人是释迦牟尼佛用手摸他头的；
改任陕州通判，有关部门调郡里租税送到河南，李穆因为本州缺粮，不立即应命，因此被免职。,移陕州通判，有司调郡租输河南，穆以本镇军食阙，不即应命，坐免。,移陕州通判，官府调郡租到河南，穆因为本镇军粮不足，没有马上服从命令，因此被免职。
就是我啊！,我身是也。,我就是本人啊。
当时他父亲谢涛在西京做官，且已老了，他因此请求就便奉养，被调任河南府通判。,时涛官西京，且老矣，因请便养，通判河南府。,时涛在西京做官，年纪也大了，所以就请求回家养老，然后去通判河南府。
《诗经》说：“与贤人一起去交游，跟他一起来唱歌。”,《诗》曰：“来游来歌。”,《诗》言：“来遊來唱歌。”
你不要因为做了鲁国的君王而对士人骄傲。,子无以鲁国骄士。,子不要用鲁国来骄傲待士。
由此金鼓声威力，悉除众生烦恼逼。,是鼓所出，微妙之音，能除众生，诸恼所逼。,是鼓发出，细妙声音，能除众生，各种烦恼所逼。
接待大宾客，就命令相关部门修整郊野的道路、储备粮米柴草，以备宾客使用。,大宾客，令野修道、委积。,大宾客，叫野人修路、堆东西。
尊者远道而来辛苦了，还能认识事物的本来面目吗？,知识远来艰辛、还将得本来否？,知识远来好辛苦，还不晓得能不能得到本来的东西？
止观法是证悟一切的法门。,证诸法门也。,验其法门也。
菩萨之智慧，并不因此而退减。,而是菩萨智慧不减。,而是菩萨智慧没有减少。
猎人们常常叫慧能代看守兽网，每次看到有野兽被网住，慧能都把它们放走了。,猎人常令守网，每见生命，尽放之。,猎人常叫守网，每次见到活的，全放了。
虚空上方的天神为了聆听说法，也常会随行侍奉。如果在乡村、城镇、或静寂的山林中说法，有人前来质疑问难，众天神也会日以继夜，为了佛法而护卫菩萨，使前来聆听说法的人得到满意答复而无不欢喜。,虚空诸天为听法故亦常随侍，若在聚落、城邑、空闲林中，有人来欲难问者，诸天昼夜，常为法故而卫护之，能令听者皆得欢喜。,虚空里那些天人为了听法也会常常跟随，如果在村落、城市、或空闲的林子里，有人来想难为提问，那些天人日夜都会为了佛法保护他，能让来听的人感到欢喜。
这时慧明施礼说：,惠明作礼云：,惠明行礼说道：
边韶有口才，曾经白天假卧，学生们暗暗地嘲笑道“：边孝先，腹便便，懒读书，只想眠。”,诏口辩，曾昼日假卧，弟子私矡之曰：“边孝先，腹便便。懒读书，但欲眠。”,诏口才好，曾白天睡觉，学生偷偷看他，说：“边孝先，肚子大。不读书，只想睡觉。”
整垣年少时能写文章，拜师于同郡人退茎，退茎认为他不同寻常，说：“这是辅佐君王之才。”,恒少能属文，师事同郡张载，载奇之，曰：“王佐才也。”,恒少年时能写文章，跟同郡张载学习，张载觉得他很奇特，说：“这是个辅佐帝王的人才。”
话已至此，阿难及众比丘僧，听到佛祖刚才所说的这番话语，都暗自劝慰勉励自己，精心钻研参禅佛法，,尔时阿难，及诸比丘，闻佛所说，各自劝励，清进修道。,那时阿难和那些比丘们听了佛说的话，各自鼓励自己，好好修行。
四月二十八日，审查囚犯。,夏四月丁巳，录囚。,夏天四月丁巳，记囚犯。
惠施是被张仪排挤才来到楚国的，他也会不愿您与张仪结交，要不然他一定不会到楚国来。,惠子为仪者来，而恶王之交于张仪，惠子必弗行也。,惠子来做仪事，王和张仪交好，惠子肯定不高兴，肯定不会去。
怎样叫做圆满报身？,何名圆满报身？,何谓圆满报身？
什么叫十八界？,何名十八界？,何谓十八界？
应修习念觉意，而依于无欲，依于无污，依于灭尽而求出要。,修念觉意，依无欲、依无污、依灭尽而求出要。,修念觉意，依无欲，依无污，依灭尽而出要。
“您何不派人对韩国公叔说：,“君何不令人谓韩公叔曰：,君为啥不叫人跟韩公叔说：
又认为命运是有的，贫富寿夭，治安危乱有定数，不能增减变化。,又以命为有，贫富寿夭、治乱安危有极矣，不可损益也。,又以为命是有，贫富寿夭、治乱安危有个极限，不可增减也。
文殊师利回答：,文殊师利答舍利弗。,文殊师利回答舍利弗。
曹爽被诛时，因旧官吏身份被罢免。,及爽诛，以故吏免。,及爽被杀，因以前做官的缘故被免了职。
当时大王回答说：,时王报曰：,當時王回說：
以前征聘的处士，多不称声望，李固平常就仰慕黄琼，于是预先写信给他：“听说您已经渡了伊水和洛水，近在万岁亭，难道迟迟其行，是顺从皇帝的命令吗？,先是征聘处士多不称望，李固素慕于琼，乃以书逆遗之曰：“闻已度伊、洛，近在万岁亭，岂即事有渐，将顺王命乎？,先是征聘处士多不称望，李固平日里挺仰慕琼的，就写信提前送给他道：“听说已经过了伊、洛，现在在万岁亭附近，是不是事情有了进展，准备接受王命了？”
不久，他升为太仆卿，调为光禄。,寻进太仆卿，调光禄。,不久进太仆卿，后来调到光禄。
